gene_name,NC_1,NC_2,NC_3,S4_1,S4_2,S4_3
TMEM210,0,0,0,0,0,0
TMEM212,0,0,0,0,0,0
TMEM213,0,1,0,0,0,0
TMEM214,1702,1695,1670,1744,1868,1473
TMEM215,0,0,0,0,0,0
TMEM216,116,112,104,140,135,105
TMEM217,6,7,4,19,40,31
TMEM217B,0,4,0,0,0,0
TMEM218,284,266,268,224,279,259
TMEM219,525,506,508,398,463,371
TMEM220,262,272,278,192,207,138
TMEM221,7,1,3,1,6,2
TMEM222,331,361,387,494,557,441
TMEM223,67,82,76,78,96,76
TMEM225,0,0,0,0,0,0
TMEM225B,15,17,26,6,15,4
TMEM229A,0,0,0,0,0,0
TMEM229B,6,24,18,2,6,3
TMEM230,1901,2131,2079,1570,1754,1545
TMEM231,125,145,118,122,177,165
TMEM232,4,5,5,6,6,6
TMEM233,0,0,0,0,0,2
TMEM234,179,179,168,111,133,107
TMEM235,0,0,0,0,0,0
TMEM236,5,1,5,18,15,19
TMEM237,1223,1322,1469,888,954,796
TMEM238,0,0,0,2,0,0
TMEM238L,0,0,0,0,0,0
TMEM239,1,2,2,0,0,1
TMEM240,26,23,13,16,17,17
TMEM241,80,85,66,99,153,133
TMEM242,436,452,516,426,397,358
TMEM243,214,277,272,346,351,341
TMEM244,0,0,0,0,0,0
TMEM245,4064,4330,4608,3238,3716,3317
TMEM247,0,0,0,3,1,0
TMEM248,2921,3182,3105,2359,2644,2271
TMEM249,1,0,1,2,10,0
TMEM25,305,381,333,149,154,145
TMEM250,412,550,460,500,578,512
TMEM252,0,0,0,0,0,0
TMEM253,6,1,11,7,6,4
TMEM254,177,248,228,184,214,175
TMEM255A,3,1,0,2,0,1
TMEM255B,299,287,301,175,206,150
TMEM256,56,55,65,45,64,48
TMEM256-PLSCR3,2,1,3,8,0,0
TMEM258,431,515,456,442,516,528
TMEM259,1048,1157,1098,1284,1560,1129
TMEM26,20,17,22,8,10,8
TMEM260,609,649,704,599,689,550
TMEM262,7,12,15,20,9,20
TMEM263,3436,3882,3811,3456,3819,3267
TMEM265,0,0,0,0,0,0
TMEM266,11,22,12,7,18,3
TMEM267,424,460,511,633,722,594
TMEM268,209,217,242,339,375,328
TMEM269,0,1,0,13,11,3
TMEM270,0,0,0,0,0,0
TMEM271,0,0,0,0,0,0
TMEM272,0,0,0,0,1,0
TMEM273,0,0,0,0,1,0
TMEM275,0,0,0,0,0,0
TMEM276,76,130,90,72,55,58
TMEM276-ZFTRAF1,73,79,112,132,102,62
TMEM30A,6326,6830,6711,7188,7466,6344
TMEM30B,24,26,17,20,19,8
TMEM31,2,0,0,0,1,0
TMEM33,1219,1238,1254,1925,2486,1947
TMEM35A,37,37,58,4,6,3
TMEM35B,385,494,451,192,252,206
TMEM37,8,9,5,0,3,9
TMEM38A,24,24,17,34,23,20
TMEM38B,159,180,175,941,1122,873
TMEM39A,1076,1287,1265,1014,1040,915
TMEM39B,103,95,100,140,177,149
TMEM40,0,0,0,1,1,0
TMEM41A,229,236,245,405,414,371
TMEM41B,908,1014,982,1236,1367,1256
TMEM42,166,202,175,148,184,126
TMEM43,2442,2747,2568,2609,2768,2511
TMEM44,159,169,178,251,312,292
TMEM45A,890,903,886,392,439,395
TMEM45B,0,0,0,0,0,1
TMEM47,6881,7725,7535,2549,2704,2432
TMEM50A,3965,4301,4294,2674,3030,2552
TMEM50B,768,903,780,525,554,495
TMEM51,25,35,23,65,83,38
TMEM52,0,1,0,5,2,0
TMEM52B,10,6,2,3,11,4
TMEM53,47,58,50,31,20,27
TMEM54,53,70,81,54,64,70
TMEM59,5547,6088,6063,3084,3603,2971
